Year,State,Month,Region,Site,Lat,Long,Prevalence,MonitoringLocation,Mean Intensity
1993,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,97,EE3.1,2.7
2003,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,80,EE3.1,2.7
2009,VA,October,GREAT WICOMICO RIVER,CRANES CREEK,,,88,CB5.4,2.7
2018,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,70,EE3.0,2.7
2015,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,77,EE2.2,2.7
2000,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,83,LE2.2,2.7
2010,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,77,LE2.2,2.7
1995,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,2.7
2009,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,67,ET5.1,2.7
2018,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,77,ET5.2,2.7
1993,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,88,ET5.1,2.7
2008,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,80,CB4.1W,2.7
1996,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,93,CB3.3W,2.7
1998,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,100,EE1.1,2.7
2005,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,90,EE1.1,2.7
2007,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,93,ET3.1,2.7
2000,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,93,EE3.3,2.7
2010,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,73,EE3.3,2.7
1994,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,10,ET8.1,2.7
2012,VA,October,MOBJACK BAY,PULTZ BAR,37.35305,-76.352783,96,WE4.1,2.7
2009,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,93,EE3.0,2.7
1990,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,2.7
2011,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,80,EE3.1,2.7
2012,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,77,EE3.2,2.7
1990,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,93,EE3.2,2.7
1992,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,87,EE3.2,2.7
2011,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,70,EE3.2,2.7
1998,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,80,EE3.0,2.7
2002,MD,October,UPPER BAY,SWAN POINT,39.13995,-76.302417,97,CB3.2,2.7
2000,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,90,RET3.1,2.7
2002,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,97,RET3.1,2.7
2002,VA,October,JAMES RIVER,DEEP WATER SHOAL,37.148883,-76.63555,100,LE5.1,2.68
2002,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,92,LE3.4,2.68
2002,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,92,CB5.4,2.68
2005,VA,October,JAMES RIVER,NANSEMOND RIDGE,36.922217,-76.452783,100,LE5.2,2.68
2001,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,100,LE3.2,2.68
1999,VA,October,JAMES RIVER,POINT OF SHOAL,37.07695,-76.643333,100,LE5.2,2.68
2007,VA,October,JAMES RIVER,POINT OF SHOAL,37.07695,-76.643333,100,LE5.2,2.68
2000,VA,October,GREAT WICOMICO RIVER,WHALEYS,37.808617,-76.3,100,CB5.4,2.68
2000,VA,October,RAPPAHANNOCK RIVER,BOWLERS ROCK,37.827367,-76.736333,96,RET3.2,2.64
2007,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,96,LE3.7,2.64
2007,VA,October,JAMES RIVER,DEEP WATER SHOAL,37.148883,-76.63555,80,LE5.1,2.64
2002,VA,October,RAPPAHANNOCK RIVER,MORATTICO,37.780533,-76.658183,96,LE3.1,2.64
2001,VA,September,ONCOCK ROCK,ONCOCK ROCK,,,100,,2.62962963
1997,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,2.6
2005,VA,October,YORK RIVER,BELL ROCK,37.484167,-76.749717,100,RET4.3,2.6
2010,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,96,LE3.7,2.6
2002,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,100,CB3.2,2.6
2005,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,76,LE3.7,2.6
2016,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,80,ET5.2,2.6
1995,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,83,EE1.1,2.6
2005,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,87,ET4.2,2.6
2013,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,80,EE3.0,2.6
2010,VA,October,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,92,WE4.1,2.6
1992,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,90,EE2.1,2.6
2011,VA,October,RAPPAHANNOCK RIVER,HOG HOUSE ROCK,37.636183,-76.54255,79,LE3.2,2.6
2002,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,100,EE3.0,2.6
2015,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,100,EE3.0,2.6
2003,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,83,ET5.2,2.6
1991,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,97,ET5.1,2.6
1993,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,77,EE1.1,2.6
2016,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,73,EE1.1,2.6
2009,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,96,LE3.4,2.6
2015,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,80,LE1.1,2.6
2005,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,80,LE2.3,2.6
2008,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,73,LE2.3,2.6
2016,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,63,LE2.3,2.6
2009,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,97,LE3.7,2.6
1993,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,96,ET8.1,2.6
2002,VA,September,PUNGOTEAGUE CREEK,PUNGOTEAGUE CREEK,,,100,,2.6
2008,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,80,EE3.1,2.6
2014,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,60,EE3.2,2.6
1997,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,93,EE3.0,2.6
2014,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,73,ET4.2,2.6
2006,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,87,RET3.1,2.6
1993,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,83,EE1.1,2.6
2009,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,83,EE1.1,2.6
2010,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,94,LE5.2,2.6
1993,VA,October,EASTERN SHORE,BARTON STAKE BAY,,,96,,2.56
2006,VA,November,JAMES RIVER,LONG SHOAL,37.07635,-76.617133,100,LE5.2,2.56
1993,VA,September,YEOCOMICO RIVER,MUNDY POINT 1,,,100,,2.56
2001,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,100,LE3.7,2.555555556
2000,VA,October,JAMES RIVER,DRY SHOAL,37.061383,-76.603883,100,LE5.2,2.545454545
2007,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,96,LE3.4,2.541666667
2008,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,96,LE3.2,2.541666667
2016,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,92,LE3.7,2.52
2000,VA,October,JAMES RIVER,DEEP WATER SHOAL,37.148883,-76.63555,92,LE5.1,2.52
2002,VA,October,JAMES RIVER,HORSEHEAD ROCK,37.106883,-76.634267,100,LE5.2,2.52
1997,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,100,LE3.4,2.52
1999,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,100,LE3.4,2.52
2007,VA,October,JAMES RIVER,MULBERRY POINT,37.119167,-76.63195,100,LE5.2,2.52
2002,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,100,LE3.7,2.52
1991,VA,October,JAMES RIVER,POINT OF SHOAL,37.07695,-76.643333,100,LE5.2,2.52
2003,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,92,LE3.1,2.52
2016,VA,October,GREAT WICOMICO RIVER,WHALEYS,37.808617,-76.3,100,CB5.4,2.52
2012,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,88,LE4.2,2.5
2006,VA,September,YORK RIVER,BELL ROCK,37.484167,-76.749717,92,RET4.3,2.5
2012,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,100,LE3.7,2.5
1991,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,80,CB3.2,2.5
2002,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,97,CB3.2,2.5
2003,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,80,CB3.2,2.5
2011,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,92,LE3.7,2.5
1998,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,90,EE2.1,2.5
2005,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,80,ET5.2,2.5
2007,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,87,ET5.2,2.5
2012,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,80,ET5.2,2.5
2013,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,73,EE1.1,2.5
1998,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,83,EE3.1,2.5
1998,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,80,ET4.2,2.5
2009,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,2.5
1995,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,87,EE3.0,2.5
2014,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,83,EE3.0,2.5
2009,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,97,LE3.4,2.5
2009,VA,October,JAMES RIVER,DRY SHOAL,37.061383,-76.603883,88,LE5.2,2.5
1995,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,93,CB3.3W,2.5
1999,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,87,CB3.3W,2.5
2011,VA,October,GREAT WICOMICO RIVER,FLEET POINT,37.809717,-76.288617,76,CB5.4,2.5
2012,VA,October,GREAT WICOMICO RIVER,FLEET POINT,37.809717,-76.288617,96,CB5.4,2.5
1999,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,80,EE3.1,2.5
2011,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,93,CB5.4,2.5
2000,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,97,EE3.0,2.5
1995,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,87,LE2.2,2.5
1995,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,90,CB4.1W,2.5
2002,VA,October,RAPPAHANNOCK RIVER,LONG ROCK,37.8135,-76.7084,100,RET3.2,2.5
1994,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,90,CB3.3W,2.5
2014,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,80,EE1.1,2.5
1992,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,90,ET3.1,2.5
2006,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,77,LE1.1,2.5
2008,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,93,LE1.1,2.5
1993,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,87,EE3.3,2.5
2011,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,67,EE3.3,2.5
1995,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,93,LE2.3,2.5
2010,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,83,LE2.3,2.5
2002,MD,October,POTOMAC RIVER,LOWER CEDAR POINT,38.333783,-76.981867,97,RET4.2,2.5
2000,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,92,LE3.7,2.5
2012,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,96,LE3.7,2.5
1998,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,0,ET8.1,2.5
2007,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,90,EE3.0,2.5
2006,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,77,EE3.1,2.5
1995,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,93,EE3.2,2.5
2007,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,67,EE3.2,2.5
2012,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,80,EE3.2,2.5
2009,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,100,LE3.1,2.5
1995,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,75,ET4.2,2.5
2012,VA,October,JAMES RIVER,SWASH,37.092217,-76.612217,100,LE5.2,2.5
2009,VA,October,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,100,LE5.2,2.5
1999,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,83,RET3.1,2.5
2010,VA,October,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,96,WE4.1,2.5
2012,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,80,RET3.1,2.5
2004,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,80,EE1.1,2.5
2004,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,88,LE3.7,2.48
2003,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,88,LE3.7,2.48
2017,VA,October,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,96,WE4.1,2.48
2008,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,96,CB5.4,2.48
2002,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,96,LE5.2,2.48
1998,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,100,LE3.4,2.47826087
2003,VA,October,ELIZABETH RIVER,WEST BRANCH SHELL PLANT,,,100,,2.47826087
2008,VA,October,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,96,LE5.2,2.458333333
2017,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,92,LE4.2,2.44
1993,VA,October,EASTERN SHORE,EGGING MARSH,,,96,,2.44
1999,VA,October,JAMES RIVER,HORSEHEAD ROCK,37.106883,-76.634267,100,LE5.2,2.44
1991,VA,April,EASTERN SHORE,MACHIPONGO CREEK,,,100,,2.44
1990,VA,September,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,100,LE3.7,2.44
2006,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,92,LE3.2,2.44
1999,VA,October,COAN RIVER,REEF,,,100,,2.44
2008,VA,October,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,92,WE4.1,2.44
2001,VA,October,GREAT WICOMICO RIVER,WHALEYS,37.808617,-76.3,92,CB5.4,2.44
2011,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,96,LE4.2,2.4
2009,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,70,EE2.1,2.4
2017,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,77,EE2.1,2.4
2009,VA,October,YORK RIVER,BELL ROCK,37.484167,-76.749717,88,RET4.3,2.4
2006,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,96,LE3.7,2.4
2005,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,77,CB3.2,2.4
1993,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,83,CB3.2,2.4
1997,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,70,EE2.1,2.4
2014,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,77,ET5.2,2.4
2019,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,53,ET5.2,2.4
2010,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,78,LE3.4,2.4
2012,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,88,LE3.4,2.4
2003,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,87,CB3.3W,2.4
1996,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,2.4
1997,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,93,EE2.1,2.4
2010,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,91,CB5.4,2.4
2012,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,84,CB5.4,2.4
2016,VA,October,RAPPAHANNOCK RIVER,HOG HOUSE ROCK,37.636183,-76.54255,88,LE3.2,2.4
1992,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,81,LE2.2,2.4
2001,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,80,LE2.2,2.4
2013,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,70,LE2.2,2.4
2014,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,73,LE2.2,2.4
1993,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,93,ET5.1,2.4
1998,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,83,ET5.2,2.4
2010,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,73,ET5.2,2.4
1992,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,80,CB4.1W,2.4
2003,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,77,CB3.3W,2.4
2010,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,92,LE3.4,2.4
1996,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,90,EE3.3,2.4
2013,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,88,LE3.2,2.4
2012,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,100,LE3.2,2.4
2016,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,73,ET8.1,2.4
2013,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,77,EE3.0,2.4
2005,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,80,EE3.2,2.4
1999,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,63,EE3.2,2.4
2016,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,60,EE3.2,2.4
2019,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,63,EE3.0,2.4
2017,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,96,LE3.1,2.4
2002,VA,October,JAMES RIVER,SWASH,37.092217,-76.612217,96,LE5.2,2.4
1998,VA,September,TANGIER SOUND,THOROUGHFAR,,,96,LE5.2,2.4
1998,VA,September,TANGIER SOUND,THOROUGHFARE,,,96,,2.4
2009,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,73,RET3.1,2.4
2011,VA,October,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,92,WE4.1,2.4
2015,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,84,LE4.2,2.375
1998,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,96,LE3.2,2.375
2005,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,73,LE3.4,2.363636364
2007,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,82,LE3.2,2.363636364
2001,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,92,LE4.2,2.36
1999,VA,October,COAN RIVER,BIG BAR,,,100,RET4.3,2.36
1998,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,100,LE3.4,2.36
2006,VA,October,GREAT WICOMICO RIVER,HAYNIE BAR,37.829717,-76.309167,92,CB5.4,2.36
2008,VA,October,JAMES RIVER,LONG SHOAL,37.07635,-76.617133,100,LE5.2,2.36
2005,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,100,LE3.7,2.36
2000,VA,October,JAMES RIVER,POINT OF SHOAL,37.07695,-76.643333,100,LE5.2,2.36
2021,VA,October,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,100,LE5.2,2.36
1990,VA,September,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,100,WE4.1,2.36
1998,VA,September,TANGIER SOUND,COB HARBOR,,,100,ET8.1,2.333333333
2016,VA,October,YORK RIVER,BELL ROCK,37.484167,-76.749717,88,RET4.3,2.32
2013,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,80,LE3.7,2.32
2016,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,88,LE3.4,2.32
2001,VA,October,JAMES RIVER,LONG SHOAL,37.07635,-76.617133,96,LE5.2,2.32
2002,VA,October,JAMES RIVER,LONG SHOAL,37.07635,-76.617133,96,LE5.2,2.32
2000,VA,October,LYNNHAVEN RIVER (REEF),LYNNHAVEN RIVER (REEF),,,80,,2.32
1992,VA,October,RAPPAHANNOCK RIVER,MORATTICO ,37.780533,-76.658183,100,LE3.1,2.32
2021,VA,September,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,88,LE3.7,2.32
1992,VA,September,POQUOSON,POQUOSON,,,100,,2.32
2000,VA,October,JAMES RIVER,SWASH,37.092217,-76.612217,88,LE5.2,2.32
2008,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,96,LE5.2,2.32
1994,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,67,EE2.1,2.3
2012,VA,October,RAPPAHANNOCK RIVER,BOWLERS ROCK,37.827367,-76.736333,48,RET3.2,2.3
1995,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,83,CB3.2,2.3
1990,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,90,ET4.2,2.3
1999,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,87,ET4.2,2.3
1999,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,83,ET5.2,2.3
1994,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,83,ET5.2,2.3
2006,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,70,ET5.2,2.3
2012,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,73,EE1.1,2.3
2010,VA,October,JAMES RIVER,DRY SHOAL,37.061383,-76.603883,96,LE5.2,2.3
1993,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,76,EE3.1,2.3
2009,VA,October,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,96,WE4.1,2.3
1998,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,73,EE2.2,2.3
1995,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,93,EE2.1,2.3
2012,VA,October,RAPPAHANNOCK RIVER,HOG HOUSE ROCK,37.636183,-76.54255,75,LE3.2,2.3
1998,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,87,EE3.0,2.3
2003,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,53,ET5.1,2.3
2000,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,80,ET5.2,2.3
1998,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,73,ET5.1,2.3
2008,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,67,ET5.1,2.3
2012,VA,October,RAPPAHANNOCK RIVER,LONG ROCK,37.8135,-76.7084,28,RET3.2,2.3
2010,VA,October,JAMES RIVER,LONG SHOAL,37.07635,-76.617133,96,LE5.2,2.3
1997,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,90,CB3.3W,2.3
2002,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,100,CB3.3W,2.3
1990,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,73,EE1.1,2.3
2011,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,96,LE3.4,2.3
2003,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,83,ET3.1,2.3
2004,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,97,ET3.1,2.3
2008,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,80,ET3.1,2.3
2011,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,67,LE1.1,2.3
2003,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,90,EE3.3,2.3
1991,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,83,LE2.3,2.3
2001,MD,October,POTOMAC RIVER,LOWER CEDAR POINT,38.333783,-76.981867,90,RET4.2,2.3
2009,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,96,LE3.2,2.3
2000,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,13,ET8.1,2.3
